"id","parent_id/id","code_prefix_start","code_prefix_end","name","cuenta_sat","cuenta_tipo"
"cod_sat_436","cod_sat_92",252.01,252.01,"Documentos bancarios y financieros por pagar a largo plazo nacional",252.01,"Acreedora"
"cod_sat_437","cod_sat_92",252.02,252.02,"Documentos bancarios y financieros por pagar a largo plazo extranjero",252.02,"Acreedora"
"cod_sat_438","cod_sat_92",252.03,252.03,"Documentos y cuentas por pagar a largo plazo nacional",252.03,"Acreedora"
"cod_sat_439","cod_sat_92",252.04,252.04,"Documentos y cuentas por pagar a largo plazo extranjero",252.04,"Acreedora"
"cod_sat_440","cod_sat_92",252.05,252.05,"Documentos y cuentas por pagar a largo plazo nacional parte relacionada",252.05,"Acreedora"
"cod_sat_441","cod_sat_92",252.06,252.06,"Documentos y cuentas por pagar a largo plazo extranjero parte relacionada",252.06,"Acreedora"
"cod_sat_442","cod_sat_92",252.07,252.07,"Hipotecas por pagar a largo plazo nacional",252.07,"Acreedora"
"cod_sat_443","cod_sat_92",252.08,252.08,"Hipotecas por pagar a largo plazo extranjero",252.08,"Acreedora"
"cod_sat_444","cod_sat_92",252.09,252.09,"Hipotecas por pagar a largo plazo nacional parte relacionada",252.09,"Acreedora"
"cod_sat_445","cod_sat_92",252.10,252.10,"Hipotecas por pagar a largo plazo extranjero parte relacionada",252.10,"Acreedora"
"cod_sat_446","cod_sat_92",252.11,252.11,"Intereses por pagar a largo plazo nacional",252.11,"Acreedora"
"cod_sat_447","cod_sat_92",252.12,252.12,"Intereses por pagar a largo plazo extranjero",252.12,"Acreedora"
"cod_sat_448","cod_sat_92",252.13,252.13,"Intereses por pagar a largo plazo nacional parte relacionada",252.13,"Acreedora"
"cod_sat_449","cod_sat_92",252.14,252.14,"Intereses por pagar a largo plazo extranjero parte relacionada",252.14,"Acreedora"
"cod_sat_450","cod_sat_92",252.15,252.15,"Dividendos por pagar nacionales",252.15,"Acreedora"
"cod_sat_451","cod_sat_92",252.16,252.16,"Dividendos por pagar extranjeros",252.16,"Acreedora"
"cod_sat_452","cod_sat_92",252.17,252.17,"Otras cuentas y documentos por pagar a largo plazo",252.17,"Acreedora"
"cod_sat_453","cod_sat_93",253.01,253.01,"Rentas cobradas por anticipado a largo plazo nacional",253.01,"Acreedora"
