id,level,code,name
__export__.account_hierarchy_label_87,3,115.05,Mercancías en tránsito
__export__.account_hierarchy_label_88,3,115.06,Mercancías en poder de terceros
__export__.account_hierarchy_label_89,3,115.07,Otros
__export__.account_hierarchy_label_90,2,116,Estimación de inventarios obsoletos y de lento movimiento
__export__.account_hierarchy_label_91,3,116.01,Estimación de inventarios obsoletos y de lento movimiento
__export__.account_hierarchy_label_92,2,117,Obras en proceso de inmuebles
__export__.account_hierarchy_label_93,3,117.01,Obras en proceso de inmuebles
__export__.account_hierarchy_label_94,2,118,Impuestos acreditables pagados
__export__.account_hierarchy_label_95,3,118.01,IVA acreditable pagado
__export__.account_hierarchy_label_96,3,118.02,IVA acreditable de importación pagado
__export__.account_hierarchy_label_97,3,118.03,IEPS acreditable pagado
__export__.account_hierarchy_label_98,3,118.04,IEPS pagado en importación
__export__.account_hierarchy_label_99,2,119,Impuestos acreditables por pagar
__export__.account_hierarchy_label_100,3,119.01,IVA pendiente de pago
__export__.account_hierarchy_label_101,3,119.02,IVA de importación pendiente de pago
__export__.account_hierarchy_label_102,3,119.03,IEPS pendiente de pago
__export__.account_hierarchy_label_103,3,119.04,IEPS pendiente de pago en importación
__export__.account_hierarchy_label_104,2,120,Anticipo a proveedores
__export__.account_hierarchy_label_105,3,120.01,Anticipo a proveedores nacional
__export__.account_hierarchy_label_106,3,120.02,Anticipo a proveedores extranjero
__export__.account_hierarchy_label_107,3,120.03,Anticipo a proveedores nacional parte relacionada
__export__.account_hierarchy_label_108,3,120.04,Anticipo a proveedores extranjero parte relacionada
__export__.account_hierarchy_label_109,2,121,Otros activos a corto plazo
__export__.account_hierarchy_label_110,3,121.01,Otros activos a corto plazo
__export__.account_hierarchy_label_112,2,151,Terrenos
__export__.account_hierarchy_label_113,3,151.01,Terrenos
__export__.account_hierarchy_label_114,2,152,Edificios
__export__.account_hierarchy_label_115,3,152.01,Edificios
__export__.account_hierarchy_label_116,2,153,Maquinaria y equipo
__export__.account_hierarchy_label_117,3,153.01,Maquinaria y equipo
__export__.account_hierarchy_label_118,2,154,"Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
__export__.account_hierarchy_label_119,3,154.01,"Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
__export__.account_hierarchy_label_120,2,155,Mobiliario y equipo de oficina
__export__.account_hierarchy_label_121,3,155.01,Mobiliario y equipo de oficina
__export__.account_hierarchy_label_122,2,156,Equipo de cómputo
__export__.account_hierarchy_label_123,3,156.01,Equipo de cómputo
__export__.account_hierarchy_label_124,2,157,Equipo de comunicación
__export__.account_hierarchy_label_125,3,157.01,Equipo de comunicación
__export__.account_hierarchy_label_126,2,158,"Activos biológicos, vegetales y semovientes"
__export__.account_hierarchy_label_127,3,158.01,"Activos biológicos, vegetales y semovientes"
__export__.account_hierarchy_label_128,2,159,Obras en proceso de activos fijos
__export__.account_hierarchy_label_129,3,159.01,Obras en proceso de activos fijos
__export__.account_hierarchy_label_130,2,160,Otros activos fijos
__export__.account_hierarchy_label_131,3,160.01,Otros activos fijos
__export__.account_hierarchy_label_132,2,161,Ferrocarriles
__export__.account_hierarchy_label_133,3,161.01,Ferrocarriles
__export__.account_hierarchy_label_134,2,162,Embarcaciones
__export__.account_hierarchy_label_135,3,162.01,Embarcaciones
__export__.account_hierarchy_label_136,2,163,Aviones
__export__.account_hierarchy_label_137,3,163.01,Aviones
__export__.account_hierarchy_label_138,2,164,"Troqueles, moldes, matrices y herramental"
__export__.account_hierarchy_label_139,3,164.01,"Troqueles, moldes, matrices y herramental"
__export__.account_hierarchy_label_140,2,165,Equipo de comunicaciones telefónicas
__export__.account_hierarchy_label_141,3,165.01,Equipo de comunicaciones telefónicas
__export__.account_hierarchy_label_142,2,166,Equipo de comunicación satelital
__export__.account_hierarchy_label_143,3,166.01,Equipo de comunicación satelital
__export__.account_hierarchy_label_144,2,167,Equipo de adaptaciones para personas con capacidades diferentes
__export__.account_hierarchy_label_145,3,167.01,Equipo de adaptaciones para personas con capacidades diferentes
__export__.account_hierarchy_label_146,2,168,Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
__export__.account_hierarchy_label_147,3,168.01,Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
__export__.account_hierarchy_label_148,2,169,Otra maquinaria y equipo
__export__.account_hierarchy_label_149,3,169.01,Otra maquinaria y equipo
__export__.account_hierarchy_label_150,2,170,Adaptaciones y mejoras
__export__.account_hierarchy_label_151,3,170.01,Adaptaciones y mejoras
__export__.account_hierarchy_label_152,2,171,Depreciación acumulada de activos fijos
__export__.account_hierarchy_label_153,3,171.01,Depreciación acumulada de edificios
__export__.account_hierarchy_label_154,3,171.02,Depreciación acumulada de maquinaria y equipo
__export__.account_hierarchy_label_155,3,171.03,"Depreciación acumulada de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
__export__.account_hierarchy_label_156,3,171.04,Depreciación acumulada de mobiliario y equipo de oficina
__export__.account_hierarchy_label_157,3,171.05,Depreciación acumulada de equipo de cómputo
__export__.account_hierarchy_label_158,3,171.06,Depreciación acumulada de equipo de comunicación
__export__.account_hierarchy_label_159,3,171.07,"Depreciación acumulada de activos biológicos, vegetales y semovientes"
__export__.account_hierarchy_label_160,3,171.08,Depreciación acumulada de otros activos fijos
__export__.account_hierarchy_label_161,3,171.09,Depreciación acumulada de ferrocarriles
__export__.account_hierarchy_label_162,3,171.1,Depreciación acumulada de embarcaciones
__export__.account_hierarchy_label_163,3,171.11,Depreciación acumulada de aviones
__export__.account_hierarchy_label_164,3,171.12,"Depreciación acumulada de troqueles, moldes, matrices y herramental"
__export__.account_hierarchy_label_165,3,171.13,Depreciación acumulada de equipo de comunicaciones telefónicas
__export__.account_hierarchy_label_166,3,171.14,Depreciación acumulada de equipo de comunicación satelital
__export__.account_hierarchy_label_167,3,171.15,Depreciación acumulada de equipo de adaptaciones para personas con capacidades diferentes
__export__.account_hierarchy_label_168,3,171.16,Depreciación acumulada de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
__export__.account_hierarchy_label_169,3,171.17,Depreciación acumulada de adaptaciones y mejoras
__export__.account_hierarchy_label_170,3,171.18,Depreciación acumulada de otra maquinaria y equipo
__export__.account_hierarchy_label_171,2,172,Pérdida por deterioro acumulado de activos fijos
__export__.account_hierarchy_label_172,3,172.01,Pérdida por deterioro acumulado de edificios
__export__.account_hierarchy_label_173,3,172.02,Pérdida por deterioro acumulado de maquinaria y equipo
__export__.account_hierarchy_label_174,3,172.03,"Pérdida por deterioro acumulado de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
__export__.account_hierarchy_label_175,3,172.04,Pérdida por deterioro acumulado de mobiliario y equipo de oficina
__export__.account_hierarchy_label_176,3,172.05,Pérdida por deterioro acumulado de equipo de cómputo
__export__.account_hierarchy_label_177,3,172.06,Pérdida por deterioro acumulado de equipo de comunicación
__export__.account_hierarchy_label_178,3,172.07,"Pérdida por deterioro acumulado de activos biológicos, vegetales y semovientes"
__export__.account_hierarchy_label_179,3,172.08,Pérdida por deterioro acumulado de otros activos fijos
__export__.account_hierarchy_label_180,3,172.09,Pérdida por deterioro acumulado de ferrocarriles
__export__.account_hierarchy_label_181,3,172.10,Pérdida por deterioro acumulado de embarcaciones
__export__.account_hierarchy_label_182,3,172.11,Pérdida por deterioro acumulado de aviones
__export__.account_hierarchy_label_183,3,172.12,"Pérdida por deterioro acumulado de troqueles, moldes, matrices y herramental"
__export__.account_hierarchy_label_184,3,172.13,Pérdida por deterioro acumulado de equipo de comunicaciones telefónicas
__export__.account_hierarchy_label_185,3,172.14,Pérdida por deterioro acumulado de equipo de comunicación satelital
__export__.account_hierarchy_label_186,3,172.15,Pérdida por deterioro acumulado de equipo de adaptaciones para personas con capacidades diferentes
